,video_tiktok_id
1104984,7191975621524802858
1265819,7234888615124372763
364969,7219804006204509486
1104983,7060585836286479662
783028,7112488422287199531
964391,7213471699243781382
1355687,7121813828626664709
798796,7211193773462670597
430251,7129220388411690286
1367246,6944440110159121670
1228445,7093608374331313413
809253,7201500772088007942
1367247,6929999285442399494
1370678,7105777619873893678
1126194,6873846468021701889
479223,7139763802257558789
1021440,7119620300060331270
1138735,6930690150083153158
61615,6977102087519751430
815736,6937349918625402118
935245,6943615380216745221
1420562,7203107399169789227
453693,7137029039444839686
24042,6815611357409447174
275678,6945212509083192581
68579,6981846580508871942
1038042,6918902491606174982
470007,6824952554313501957
1409445,7172097846118731014
1034203,7205008337560194347
382591,7187883996481654058
1034202,7200927698015915310
1117966,7054714129721920774
294066,7223579511911189802
136250,7071384581513088262
1292054,6812973982480977158
71290,6978180862827400453
1426694,7100175302579588378
1119488,7201185947373980974
979404,7157025812099665157
1376688,6932455268567567621
1128399,210692405455491072
808520,7156315504234351877
694382,6978357855636278534
682698,6945860319998741765
262782,6979616228276980997
842058,7160463141208493318
60849,7161188336164539654
879732,7103715872467946794
316716,7031335820929895686
688219,7222930725882907909
458615,7174109412364242182
389848,7161275525032447274
842057,7174942955008986374
1046023,7134368944365915398
275684,6958920502018608389
830756,7181679422964108550
51170,7197125566561062150
40314,6999800810842459397
1429303,6958086677818510598
538464,7039286232697834754
861455,7196679889880222978
842059,7187555956216188165
688114,7005547809453772037
1059634,7151608869439950086
68630,6954921585497148677
1279775,6951128496412314885
213857,7034152092562443526
115442,7085908429541264646
1336865,7189469188849716506
10156,7030489599038344453
692598,6978977987765013765
834143,6853260073548958981
641918,7067993328817540398
680372,7140300064357928235
279775,7177804960116034858
356308,6978573855258365189
1420328,7033554972734164271
972850,7194955933477309702
789611,7073184022112767238
1361172,7073585917486697734
1142760,7089530940225080618
671741,6975620037180706053
38803,7238751022468926725
340865,7145351757181275397
458599,7233810061548621083
1411159,6903729095712967937
1156069,7043831012761095429
1308552,7068889962552364331
323467,7108513254921506094
959692,7214640547309292843
448707,7041003516651162927
808519,7185267861970013446
714175,7218733235168103726
11683,6932899975059737862
542500,7032394320007138562
559143,7132650607986461978
778064,7232396865646365957
802110,7237615245832146181
665524,6982906659437890821
644757,7023967390908157190
46694,7199780330092514603
37791,6978502431957142789
857941,7184799282187259182
935566,7062087676450655494
872907,7146097787464273198
832551,7195769498543099178
1248463,7070690479289027883
569106,7213053100712676635
410055,7015935559856082178
127048,6978562382180207878
1237677,6936602513869163781
159719,6979639405552192773
101788,7135797226080652550
314370,7171138347673472261
328523,6787873165214321925
634927,7159713470915546373
327014,6996359782038834437
780236,7200085303728639237
1110342,6793542058687696134
1419813,6794871756919295238
1405600,6999442455233842438
402266,7081995057691102507
1383208,6798666176542035206
1254537,7170811203579677994
38815,7204951112766541062
563823,6960390783505534213
549274,6972372645505436933
383130,7195773543207013674
202182,7018285530089622789
38789,7153442644700531973
747769,7162908721943825691
1329366,7050235030060174597
857942,7178877221677845806
530857,214405753179340800
675416,6981857012023938310
692765,6985299058323737861
21764,7109537803217784070
1174456,7236201349161946411
1110307,6794474893032393990
799987,7172426653753150746
341159,7159209090114178306
57645,6859129824573803782
680312,6979765479556566278
548736,6848870062258998534
316995,6979304873212792069
1175039,7167930332224818437
673960,7011260953799003397
665465,6978558386254253317
708332,7062677660102593798
1168055,7036190313655946542
658342,7085013280439242027
1257410,7158935009196444974
114585,7087755800810409262
796366,7111681419381935366
209849,7098117164435066155
853502,7240979125438008618
647134,6992322471416450309
660214,7079484251321814315
534607,7180058582539357446
28142,7166425188467363077
306201,7158779310797491462
708326,7066194646786968838
38798,7143336983689989382
350680,7135533855523622149
28150,7166649772869291270
38787,7107787067328974085
568776,6987724391312264475
569105,7213063530289958170
817866,7127266204099677467
412718,7193509711340260613
362444,7209308242697014534
38777,7141852327727713542
162243,7118510693288004870
888569,7023509797114744070
306200,7067032067560836357
