,video_tiktok_id
242946,7201289803734846762
462278,7012804137146518790
78479,7216499392746933505
40050,7195045424992996651
333806,7219011747531738373
751047,7227293416856587562
672604,7019377720253500677
752959,7225918004653985029
33733,7100187030977613061
672515,7221432816792292610
672605,7042360757681507631
78480,7219461289649769729
726335,7028647269285039365
600829,7218029228095196421
738257,7229894455002811654
365566,6963719864888478981
653229,7185576830773021958
738656,7198537172658457862
730087,7120702320702442798
674814,7223192172420484394
757706,7218435847207537921
315028,7046854076973255983
701472,7218836233890319622
9035,7191051801372773637
667044,7224514314546335002
623647,7212804627144690949
42110,7215661463422422277
753580,7214498818685979910
756897,7205086792016530730
730917,7126251223967141125
761295,7197133588276563206
340313,7222062414840253738
526386,6997641195342007554
94161,7211591561803681070
753839,7082008090702384390
600830,7215774709739310342
722204,7075700199661817094
494812,6984361960334740742
62304,7100796924789394731
668779,7224468285964717339
668778,7225602765031083291
752935,7226283856767290666
664798,7221505165952617755
690936,6949235970072005894
733261,7186778736300248363
760661,7229402718379461915
756896,7104008547997846830
320174,7102888851294653701
759402,7220451251614502190
751549,6940036239416413446
733262,7227943629292080426
600831,7229550825381678341
397973,7183181742541458690
251353,7141732366820625670
749087,7224557491953159450
723848,7228264688088288554
723873,7224474589286419739
733260,7214595594436807979
498142,7217264837989125382
689637,6972224743172869382
60972,7203198540233952518
738259,7229898890546302214
156142,6966769775049510149
149416,7193510718379937029
627736,7233631535038254382
518181,7226796918842608898
56480,7045310445774851334
267744,6959617902345506053
718690,6987779171644624134
754892,7222948431315225858
722135,7029572332565974277
367255,7221724685665471790
502142,6984914621815655685
345742,7219070798605339950
8711,7228002086519295278
234819,7220578778119032110
754819,7227001738925034779
202552,7164515864471981355
627731,7005745498103516421
502141,6977499364520480006
498861,7214951835499531563
740371,7209067171782266158
666417,7116290153521663278
210546,7228664801449266458
627730,7219407694040698158
753500,7214799988839189765
246355,7209503598080773382
84284,7210648796445822214
757444,7224898979421588762
732756,7230811310836043035
627726,6993905714095852806
396488,7219446647477079338
560127,7227281880255696133
61130,7228338243501083910
760671,7087268037438541098
9036,7224053285051698459
761835,7227651389814574382
732330,7201230188640898350
587286,7209732064755698949
631237,7213563954696555782
735344,7216839608514940166
741548,7040926763605871919
759935,7211557339235618053
706738,7228664329242004779
28268,6933356881284959493
44901,7232651925232078085
498851,7225385942297759019
750525,7227367607614115114
9027,7200088497053551878
749049,7225263696149253403
752958,7224988665812880686
586779,7224602634668297515
728891,7232839131590774062
738258,7229884787371134213
728434,7210500198861409582
757594,7233904863468391723
106527,7104880545959791918
706737,7228981134573456682
9031,7215285158709071110
396487,7221920558915554602
627733,6986814490654313734
664714,7231331499826744622
761409,7212401404332215557
667045,7224501357204622618
64224,7225708262702992686
97909,7201185369746918661
319191,7229358875445595418
558236,7223481688318348587
81361,7175891180410899713
31188,7095871347351538990
757598,7232374128282471707
269791,7157761796579888427
643529,7187855825329917189
367262,7224143796135529755
761799,7119284014099320107
749029,7230205951192665350
604023,7226833048828988715
749075,7225239820128292142
749032,7224502989527043354
31184,7033063335234948357
729146,7222297677244009771
733405,7211304791241149702
672817,7208304423687392558
749040,7224598825862876462
753564,7214142098453417222
348122,7221976495806450990
396486,7224270929117973803
488073,7170120052132351275
759398,7199672492007460138
723790,7233992562003004677
517275,7227996816254438702
755927,7211569730992311595
761139,7233810975055416618
28181,7101294397647637762
635826,7195911212444437766
56950,7102174838378302766
250852,7177949897717583110
468886,7211624100958145797
60973,7210452459083353349
723319,7227081273699880198
341103,6869323205643947266
13313,7216087479437266218
744331,7206441046266645806
736396,7187900550330027270
86601,7226065216608505115
488076,7166054820963421482
129867,7127865148617837867
747480,7225022420753698091
627732,7227188436145573166
680953,7050045373615721730
752917,7224707031054273835
759847,7206822177276955946
627725,7202327929731304747
761488,7227514587963247914
691083,7033143797810728238
31187,7051702648847879470
207481,7027165778004692230
265419,7210405579813047558
358401,7229468352706661637
272699,7226043639569337606
737554,7212477777096789291
759057,7230194037838433562
182860,7225748188211268906
757205,7209571139692072194
627729,7183163777507020078
744544,7187186012659911982
364890,7217547941710417179
717264,7222752902123719978
627735,7225466793274674478
759055,7230235542301003050
749045,7225283991123807531
234818,7126747192601152814
318851,7203442317825445166
672516,7225432831550328066
272443,7215703773862300971
468884,7011015120931376410
723351,7232373946358779141
757204,7206981647370145026
759400,7218949583890648362
698521,7128414645953645870
717266,7081718834482203947
561514,7232332794217925934
728986,7126854600740588843
672569,7192030945950682411
687050,7228780213751057669
758523,7221225074962074922
698516,7211893895687408901
746890,7213141008920431914
398245,7121854026152545541
11672,7216778443055254826
488101,7091881620655017262
468887,7210883827756010757
705822,7205289267361303850
738937,7207562814595239169
631235,7107352920663821573
672496,7228857328181759233
723772,7220902549589724459
661258,7176456402913774891
744333,7209770125426412846
20455,7231674322568432938
732332,7223124813601344814
759399,7216044187215777070
754378,7221589285340843290
723113,7214139854295305518
318846,7232386575047396651
753087,7215385049775049990
473820,7151280442359172398
761347,7225738131788598574
705823,7216904129304726830
627734,7171710627633990958
746517,7201205871131593989
680214,7120621508103343366
760557,7218340034104200494
502144,7224541041813097771
20456,7231480957306670382
750701,7199124221891464474
627724,7226960757345275179
488107,7224214441615740206
31182,7022712217619549445
757678,7200415168348572971
722408,7216758468815047982
294149,7100620312185867566
468881,7220923624599850246
698517,7211893758156180742
250850,7230271533330042117
393305,7216053457227271470
627728,7213104892280540462
263410,7102140103820152107
488093,7058784634938903854
754986,7210190247358057774
546135,7131140901363092782
180772,7215302588273610026
