,video_tiktok_id
1393985,6900521275303759106
1104984,7191975621524802858
1431023,7204913958518541574
1450803,7183891359399693614
364969,7219804006204509486
1252112,7232130840791207174
904808,7213309684390907162
885980,7204531735831252230
1104983,7060585836286479662
1194722,7214634136684809478
62862,7221302591433559302
1440967,7232282127864270106
1370614,7238359488032525614
190587,7001138591464230149
33011,7213039389776153898
1194066,7191889067875896582
73091,7161178678104313094
868691,7085116689792208170
1202014,7237620896217746730
62861,7209877135580794118
836242,7237673065830812934
1018874,7002779940080880901
1126876,7014700961956482310
1389590,7223720602060721410
1367173,7048401876391447814
1367470,7019482383137180933
1113717,7181879566967803178
1347707,7225688850436197674
1214110,7006464138910158085
1095110,7121651259576306950
1447313,6932558261107379462
179390,7195666049495207173
1451129,6970106632864894213
1377195,7118123122406067462
869127,7067930965758250245
1417182,7214629775778843909
380468,7220892263289851142
1154073,7228860711751978258
1142437,7223134375469157638
83171,7224603212064541994
396539,6998317120119409926
881215,7211907291203800326
335309,7214152913323707691
1194067,7191883058948230406
672791,7238220793203739946
472504,6968322157113888005
1332194,7230870872179969323
871004,7143814292779912491
430251,7129220388411690286
1353035,7027904701672803590
1142668,6967499469256543493
72818,7111558630641634603
1367246,6944440110159121670
892373,7159983619145026862
1051085,7236443150598819098
1377215,7210476123485162757
870792,6997909100835228934
1153834,7086442989966363947
1390643,7208381600684461314
1332197,7237141303119645994
895540,7020180562820336901
1104981,7193489703981681962
1133920,7105061750084668718
83177,7099184344618552622
1377044,6834855120669379846
54767,7008560393496857862
865098,7188064267248192773
1332191,7239814736173452587
1150325,7219547259359300866
301044,6934067267852422406
1114025,7148262888862452997
870793,6985575355184598277
1339095,7225357316852305179
796847,7226540820256574726
275085,6992217410136804614
340026,7207528646867684613
1042995,7234556191794416942
665241,7121750866729749761
1427423,7231973982063316225
337794,7035844123307379974
116798,7080266483976162603
321517,7121370433563249966
660003,7230630670060588293
80395,7213055934132702469
1367619,7116269335714696494
670719,7040945344179588398
1138653,7239488337449323781
609459,6562347688661093638
1367545,7234218400304827694
665264,7231990847095524614
1392739,7206492573270134022
920952,7227890083280538886
1373841,7216372342530837766
1332198,7238646722820459819
1446562,7228544569590172933
1126840,7218315667148213510
1353900,7218515849550957870
1332202,7238646525893594410
888994,7194725586693147910
797454,7232385959625510149
1370681,7002718112755944709
911762,7224162516975275269
674401,7228689174323399982
667370,7006418908861172997
936825,7214575973759487274
1101777,7006818152873037062
1443075,7108026239159422250
409915,7186139504842001706
1332199,7240255778735639850
868692,7085114002828709163
54130,6998072175156530438
1446560,7209314202970836230
1114726,7229501924020636934
1190389,7225392647593004294
1174683,7227861115043122437
888809,7223833568852577542
681155,7045733762948435246
20991,7228344189224881454
1446559,7207086177374047494
1370683,7023896285631565062
1446561,7227061396855393542
472344,7240938975504977157
964183,7229024429588696362
737186,7221930680375119146
1416300,7177636022530919723
1334385,7072398944063573253
1367175,7046836094834412806
1381037,6862113814360378629
885981,7230082792279772421
885979,7228963636591496454
831222,7153851524844621102
859351,7185238947398700294
1332192,7239815803351190830
1367247,6929999285442399494
66511,7219938094533856517
118398,7090568120997350661
1345155,7219657071736737030
1139200,7214239265553698053
810737,6971949262598884614
623042,7235429186087783686
1436003,7153001887334321454
1078405,7232387963999554843
256705,7206560889430953222
793049,7228205845467663642
1332193,7240228212721192234
1102599,7211948310611987717
1430372,7209503935172742406
1332189,7240517553662086443
1205267,7218650286448037163
836241,7127786509830311173
1416911,7213418223851670785
1332190,7239039721580743982
1373689,7202231298730020101
767738,7213023206121278726
1133906,6953627668571000069
1087769,7190091214568410374
1303688,7236981897081933061
1104621,6819918702025231621
1191339,7225039207499091227
1252111,7237332889329847557
1355116,7226760280439557381
1453933,7158272329884405038
344396,7239663594869230874
1453692,6982003756619648261
1440291,7228518272155520283
1332195,7239039572414516526
1332196,7239490996092816683
1366693,7000187006311517445
888855,7211614261611695365
1133909,6950740513016253702
1139195,7215689408039652613
1141994,7229874102062910726
1030838,7235032259982642478
831601,7226536396243078446
321118,7064944253591358746
912765,7216518560938773765
318684,7229342858031975686
1446563,7234484000318917893
1435867,7096469921357614382
1332200,7239490762461826346
1423246,7193080891374128390
908183,7220863593900805381
1332629,7102060485876452613
674222,7022400530664148229
1174924,7179590339630484741
1443289,7206961853581364485
1070594,7231742329382554885
1070109,7222027650418658586
1152931,7045284035710602542
1133897,6948101663181868293
727736,6983415211378216198
1255021,7222775762611408174
580438,7211966656434785578
919636,7197948735723195654
1077045,7224878334818241819
623038,7236190793579482373
1367783,6944846331785563398
1453268,7220396984618765574
1043013,6959467697507699974
1090642,7232862938565037318
83179,7126968051030953259
1103744,6990159339528981766
46127,7211640602239257898
1434206,7232204798114794758
888856,7209263007753456902
269350,7235385271976512774
1069667,7215933904627289371
1420571,7213426017560530182
623320,7235400618888924462
1171270,7043345420373724418
907935,7209410547022892294
1205266,7239346105215995179
623305,7229453839647247662
1337286,7213533448064044293
680244,7100332908950457605
1446698,7230783022587546885
1451208,7217191057082043690
1370678,7105777619873893678
472534,7026168937209580805
1340355,7182496508158168346
1138816,7209257068300193030
1307400,7210439071653448966
1070595,7233484855768648966
1332201,7240517468525956395
111846,7228608250101402881
1443637,7223376452157213954
104625,7235693392024341765
1138651,7234950488385408262
1187055,7216165509329358086
1377184,7099898439483297030
1078406,7211141978736676101
1139197,7125431928706141446
1322170,7056076437979254021
463982,6997847849602010374
1070107,7222548131680881946
83172,7223853261176999211
1446564,7238942933993704710
1404939,7227475740067941674
1319415,7220257584505310470
1432700,7191978879886576902
613556,7240910029287738629
1307399,7207310053911579910
519034,7226026807345155370
93238,7050066594642316549
479223,7139763802257558789
1077046,7220795994303253766
1452939,7218939580085505286
1139772,7220614868041354522
28149,7224505208473242886
1190827,7185924797283552555
1078404,7213841879677291782
1452057,7201993604410281262
682248,7026064995423096110
1410009,7234610596396715270
871166,7210752049586212102
1139736,6979240099871526145
1138738,7078037056693226758
1416512,7206792074614557958
760489,7052893165883297029
66509,7197818254264487173
1138820,7120521614571113733
1417083,7206863099100433682
71058,7196189741203688705
1449600,7208721391657504042
469449,7103437295373634818
1071117,7163064317049310470
909549,7215783100087913734
660001,7226134985084914949
1138813,7134635699898223877
1399408,7216639607616670982
1069666,7216287785408269594
1444256,7135120759315303682
1443288,7211605011061804293
1141372,7206351823492369669
660002,7232341122612235526
1099313,7240269490057940229
1070112,7235626335907941638
1443358,7111060694056996102
284768,7118393008399109382
1322171,7213534860940545286
1097430,7204453724008336646
727732,6982659209091403013
1115649,7227403439343537435
238905,7084070612225756458
1100507,7098040318813048069
715099,7045475266830929158
1353927,7201855066653986050
1402333,7221192066942962949
1071785,6951877248530091269
1332628,7096133353174289669
1399017,7206961386021227803
1091054,7105061496513727750
1387982,7160208459466607878
503837,7223746857602665733
1451042,7223152121854627078
1139196,7233870041534565638
912767,7236380530277633286
1190057,7235123601114959110
908142,7239032698814090538
1172100,7122084585235762478
1138965,6959524529072835846
688703,7214265104291073326
903162,7207466129978166533
1453261,7221101326732774662
1138735,6930690150083153158
770832,7166635956831931674
1139202,7207548906052521222
897001,7226169432144416006
1452220,7234245501359525146
679589,7038714202344787206
1335470,7133706791963102469
1443356,7106398647637576965
1139203,7226819816294780166
791936,7105347570435624198
1040400,6979733534680435973
744340,7227863762026368282
1139842,7214471908291579141
1139657,7231724425467415813
1139017,7210032289726647557
620816,7230519832293297413
912270,7227970868557860102
1451091,7210067122372873514
1322172,7210202704423947526
468218,7216317391989427498
1307405,7240749549495651590
1411372,6819682239526259969
760490,6996643060511689990
1369820,7240714064945614087
328921,7071592281274469638
61615,6977102087519751430
1420933,7204962112739806470
93241,7050310417931226374
682247,7026032760557161775
623321,7238044622512082219
1333224,7116887100410334510
1319412,7035237323851828481
1171508,7085697029371972906
860334,7201179480315006254
1140698,7206825167719304454
1089951,7099984885472840965
479214,7229283801766055173
903736,7225962995619351813
623039,7228434442128346374
1178878,7225704913467182341
623306,7230057003647864107
791934,7114274545074212102
1139928,7232305633981189419
1318084,7122774591835065606
561598,7217782885456153862
686715,7203307899924253958
1302787,7149395996349353221
1451625,7229283717406084358
1190058,7231349839647247621
1197657,7142989682714873093
901952,7234664938055208197
807739,7210378232514792750
1418525,7190445553002564869
1138814,7126898274660814086
1104435,7164906782681238826
554917,7212307893310196993
1138961,7231478090583624966
1069923,7229027115537042694
1344459,7129960823220342062
1453265,7227145202937482502
1070111,7234155881473068293
1443074,7107459606548368686
1383701,7176172192533597482
1361022,7229026075420921094
1299549,7233479893604945179
794419,7167064983044410629
1449598,7209080123272826155
978317,7220318798908296453
1410011,7229626237784820998
1452798,7219744803146304810
1419200,7233791742162504986
1450801,7233799881758936325
1126839,7231700154011684101
1034344,7235613562603883781
679590,7135462704067792174
623322,7215842121939488042
1430454,7221706918543379717
1369097,7212773429575978245
737194,7223382794762816811
874655,7225626513570319643
686719,7207333369414176005
1205137,6947825059062975750
1138652,7238315435060415749
1440089,7230150862599900422
7375,6957770831153958149
1429941,7193415992230415622
1039660,7125790985929379078
1413251,7223829101239356678
1070108,7225129510658690330
1139929,7206879819986898219
1417265,7234071379841142022
1307398,7211492733888892165
121257,7123421980984036654
874654,7224972736194415898
1139199,7232003619837512966
1162412,7083575386138840326
1177787,6890249875712216326
780577,7236038377005468971
1449982,7238677596169391366
1417264,7234114252565531910
1319414,7237695171805072646
1115105,7204793954196344070
332653,7065103218715397381
1342262,7140614719508925739
541142,7210971887348813062
336602,6852428945086893317
1368831,7222106436015262983
1346050,6858771605984791813
1416913,7213400034321222914
1366199,7227291863793831173
1355409,7161190139807534379
761906,7173759382507785478
1443287,7209562796026055942
1114457,7234785196095081774
1418155,7216359832553655557
305717,7233925529915690241
1416912,7211172057491541250
1371218,7194160887102557483
96074,7157908485269753094
26675,7055691757585042693
547008,7208009114805390618
142956,7100874052440460545
1377186,7094480402764664090
1399204,7217780741051108614
623040,7235769955520613637
827651,7039110587334348038
332655,7141405353606008069
903163,7208241463019293957
1413252,7229309697759677701
1447829,7211941368590060806
1205138,6948929214133308678
1445734,7201537953116523822
723271,7042461184678710533
791935,7120921836828773637
1149508,7235104496425258245
1385238,7162048732715011374
1319416,7238648839975013637
453693,7137029039444839686
1319910,7204890027812326702
1442503,7234527151100579077
1029264,7222757027343273262
1447830,7217186471441091845
251983,6956540144916647170
1432681,7224572617338948870
1336645,7208885964033281286
763559,7156695316199116075
1298079,7232778055410896134
546137,7233205058115046661
1152930,7046969163100851503
1141671,7226339706013830405
1029263,7222862930675502379
1371074,6907360600007904517
659011,7126427005364587781
24042,6815611357409447174
1184201,7204906230802894085
308940,7218080625373367557
623041,7235422694013979910
548985,7219111328084987141
757195,7211589262628703493
690670,7011184897251429638
1042054,7081665826599767301
1429206,7062549199728086319
1251693,7197634626699939118
681517,7206503905247825198
1394533,7225653920981437723
337548,7140313775411858730
1228082,7228940520586792198
1034263,7171118564382887173
1117383,7235735358405627142
1367782,7199750302369713414
1437475,6956383313602956549
1429962,7182466936373054725
231523,7182732951866592517
